architecture,dataset,input_size,batch_size
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
inception_v3,stanford_dogs,128,256
