start_time,architecture,dataset,input_size,batch_size,return_code
2024-03-19 18:05:47,inception_v3,caltech101,64,256,0
2024-03-19 18:13:59,inception_v3,caltech101,64,256,0
2024-03-19 18:21:25,inception_v3,caltech101,64,256,0
2024-03-19 18:28:41,inception_v3,caltech101,64,256,0
2024-03-19 18:35:58,inception_v3,caltech101,64,256,0
2024-03-19 18:43:26,inception_v3,caltech101,64,256,0
2024-03-19 18:50:49,inception_v3,caltech101,64,256,0
2024-03-19 18:58:06,inception_v3,caltech101,64,256,0
2024-03-19 19:05:27,inception_v3,caltech101,64,256,0
2024-03-19 19:12:42,inception_v3,caltech101,64,256,0
2024-03-19 19:20:07,inception_v3,caltech101,64,256,0
2024-03-19 19:27:32,inception_v3,caltech101,64,256,0
2024-03-19 19:34:58,inception_v3,caltech101,64,256,0
2024-03-19 19:42:16,inception_v3,caltech101,64,256,0
2024-03-19 19:49:54,inception_v3,caltech101,64,256,0
2024-03-19 19:57:10,inception_v3,caltech101,64,256,0
2024-03-19 20:04:27,inception_v3,caltech101,64,256,0
2024-03-19 20:11:43,inception_v3,caltech101,64,256,0
2024-03-19 20:19:00,inception_v3,caltech101,64,256,0
2024-03-19 20:26:16,inception_v3,caltech101,64,256,0
2024-03-19 20:33:29,inception_v3,caltech101,64,256,0
2024-03-19 20:40:47,inception_v3,caltech101,64,256,0
2024-03-19 20:48:25,inception_v3,caltech101,64,256,0
2024-03-19 20:55:43,inception_v3,caltech101,64,256,0
2024-03-19 21:02:56,inception_v3,caltech101,64,256,0
2024-03-19 21:10:42,inception_v3,caltech101,64,256,0
2024-03-19 21:18:05,inception_v3,caltech101,64,256,0
2024-03-19 21:25:18,inception_v3,caltech101,64,256,0
2024-03-19 21:32:55,inception_v3,caltech101,64,256,0
2024-03-19 21:40:07,inception_v3,caltech101,64,256,0
