start_time,architecture,dataset,input_size,batch_size,return_code
2023-11-22 07:37:47,inception_v3,caltech101,64,256,0
2023-11-22 07:45:00,inception_v3,caltech101,224,256,0
2023-11-22 08:05:55,inception_v3,stanford_dogs,128,32,0
2023-11-22 08:31:04,inception_v3,caltech101,128,32,0
2023-11-22 08:44:23,inception_v3,stanford_dogs,128,256,0
2023-11-22 08:59:47,inception_v3,caltech101,128,256,0
2023-11-22 09:09:38,inception_v3,stanford_dogs,64,64,0
2023-11-22 09:21:43,inception_v3,stanford_dogs,64,256,0
2023-11-22 09:31:05,inception_v3,caltech101,224,256,0
2023-11-22 09:50:12,inception_v3,stanford_dogs,64,256,0
2023-11-22 09:59:29,inception_v3,caltech101,128,32,0
2023-11-22 10:13:20,inception_v3,caltech101,128,256,0
2023-11-22 10:23:11,inception_v3,stanford_dogs,128,32,0
2023-11-22 10:48:09,inception_v3,stanford_dogs,224,32,0
2023-11-22 11:50:42,inception_v3,stanford_dogs,128,256,0
2023-11-22 12:06:00,inception_v3,caltech101,64,256,0
2023-11-22 12:13:12,inception_v3,caltech101,224,32,0
2023-11-22 12:40:34,inception_v3,caltech101,224,256,0
2023-11-22 12:59:41,inception_v3,caltech101,224,32,0
2023-11-22 13:28:43,inception_v3,stanford_dogs,128,32,0
2023-11-22 13:55:57,inception_v3,caltech101,64,256,0
2023-11-22 14:03:14,inception_v3,caltech101,224,64,0
2023-11-22 14:25:54,inception_v3,stanford_dogs,64,64,0
2023-11-22 14:38:17,inception_v3,stanford_dogs,224,32,0
2023-11-22 15:37:47,inception_v3,caltech101,224,32,0
2023-11-22 16:09:05,inception_v3,caltech101,128,256,0
2023-11-22 16:19:25,inception_v3,caltech101,128,64,0
2023-11-22 16:30:39,inception_v3,stanford_dogs,224,32,0
2023-11-22 17:35:00,inception_v3,stanford_dogs,128,32,0
2023-11-22 18:01:12,inception_v3,stanford_dogs,64,64,0
2023-11-22 18:13:41,inception_v3,stanford_dogs,128,32,0
2023-11-22 18:37:41,inception_v3,stanford_dogs,128,64,0
2023-11-22 18:57:00,inception_v3,caltech101,224,32,0
2023-11-22 19:27:24,inception_v3,stanford_dogs,64,256,0
2023-11-22 19:36:41,inception_v3,stanford_dogs,224,32,0
2023-11-22 20:34:42,inception_v3,caltech101,128,256,0
2023-11-22 20:44:34,inception_v3,stanford_dogs,64,32,0
2023-11-22 21:00:46,inception_v3,stanford_dogs,224,32,0
2023-11-22 22:04:54,inception_v3,caltech101,64,32,0
2023-11-22 22:15:07,inception_v3,stanford_dogs,64,64,0
2023-11-22 22:27:16,inception_v3,caltech101,128,32,0
2023-11-22 22:40:41,inception_v3,stanford_dogs,128,32,0
2023-11-22 23:04:48,inception_v3,stanford_dogs,128,32,0
2023-11-22 23:28:51,inception_v3,caltech101,64,256,0
2023-11-22 23:36:02,inception_v3,stanford_dogs,224,256,0
2023-11-23 00:17:46,inception_v3,caltech101,128,256,0
2023-11-23 00:27:44,inception_v3,stanford_dogs,128,256,0
2023-11-23 00:43:01,inception_v3,stanford_dogs,64,64,0
2023-11-23 00:55:28,inception_v3,stanford_dogs,224,32,0
2023-11-23 01:59:03,inception_v3,stanford_dogs,224,64,0
2023-11-23 02:45:13,inception_v3,stanford_dogs,128,32,0
2023-11-23 03:12:10,inception_v3,caltech101,64,256,0
2023-11-23 03:19:23,inception_v3,stanford_dogs,64,64,0
2023-11-23 03:31:33,inception_v3,caltech101,128,256,0
2023-11-23 03:41:26,inception_v3,caltech101,64,256,0
2023-11-23 03:48:37,inception_v3,caltech101,224,32,0
2023-11-23 04:16:42,inception_v3,stanford_dogs,128,32,0
2023-11-23 04:40:50,inception_v3,caltech101,224,32,0
2023-11-23 05:10:56,inception_v3,caltech101,224,32,0
2023-11-23 05:43:53,inception_v3,stanford_dogs,224,64,0
2023-11-23 06:41:31,inception_v3,stanford_dogs,128,32,0
2023-11-23 07:06:40,inception_v3,stanford_dogs,224,32,0
2023-11-23 08:06:27,inception_v3,stanford_dogs,224,64,0
2023-11-23 08:52:40,inception_v3,stanford_dogs,224,32,0
2023-11-23 09:52:15,inception_v3,caltech101,128,64,0
2023-11-23 10:03:22,inception_v3,stanford_dogs,128,256,0
2023-11-23 10:18:41,inception_v3,stanford_dogs,128,32,0
2023-11-23 10:43:30,inception_v3,caltech101,128,32,0
2023-11-23 10:58:12,inception_v3,stanford_dogs,64,64,0
2023-11-23 11:10:20,inception_v3,stanford_dogs,224,32,0
2023-11-23 12:10:44,inception_v3,stanford_dogs,224,256,0
2023-11-23 12:48:46,inception_v3,caltech101,64,64,0
2023-11-23 12:57:17,inception_v3,stanford_dogs,64,256,0
2023-11-23 13:06:37,inception_v3,caltech101,128,32,0
2023-11-23 13:20:01,inception_v3,stanford_dogs,224,256,0
2023-11-23 13:58:03,inception_v3,caltech101,224,64,0
2023-11-23 14:22:45,inception_v3,stanford_dogs,128,32,0
2023-11-23 14:47:38,inception_v3,caltech101,64,32,0
2023-11-23 14:57:41,inception_v3,stanford_dogs,224,64,0
2023-11-23 15:43:51,inception_v3,caltech101,224,64,0
2023-11-23 16:09:40,inception_v3,stanford_dogs,64,256,0
2023-11-23 16:19:06,inception_v3,stanford_dogs,64,64,0
2023-11-23 16:31:27,inception_v3,stanford_dogs,224,32,0
2023-11-23 17:33:47,inception_v3,caltech101,128,64,0
2023-11-23 17:44:57,inception_v3,stanford_dogs,128,64,0
2023-11-23 18:04:29,inception_v3,caltech101,224,32,0
2023-11-23 18:32:00,inception_v3,caltech101,128,256,0
2023-11-23 18:41:53,inception_v3,caltech101,64,32,0
2023-11-23 18:51:54,inception_v3,caltech101,64,256,0
2023-11-23 18:59:06,inception_v3,stanford_dogs,128,256,0
2023-11-23 19:14:19,inception_v3,stanford_dogs,224,256,0
